diameter_um,realised_percent,envelope_low_percent,envelope_high_percent
100.59449541,-0.01955069,-0.10046579,0.01803176
100.59549625,-0.02054863,-0.10146292,0.01703345
100.59649708,-0.02153932,-0.10245281,0.01604238
100.59749791,-0.02253722,-0.10344991,0.01504410
100.59849875,-0.02352788,-0.10443976,0.01405308
100.59949958,-0.02452574,-0.10543682,0.01305484
100.60050042,-0.02551635,-0.10642663,0.01206385
100.60150125,-0.02651418,-0.10742364,0.01106566
100.60250209,-0.02751198,-0.10842064,0.01006748
100.60350292,-0.02850254,-0.10941039,0.00907655
100.60450375,-0.02950030,-0.11040735,0.00807841
100.60550459,-0.03049081,-0.11139706,0.00708752
100.60650542,-0.03148854,-0.11239398,0.00608942
100.60750626,-0.03247901,-0.11338365,0.00509858
100.60850709,-0.03347670,-0.11438053,0.00410052
100.60950792,-0.03446714,-0.11537017,0.00310971
100.61050876,-0.03546478,-0.11636700,0.00211169
100.61150959,-0.03646241,-0.11736382,0.00111369
100.61251043,-0.03745278,-0.11835340,0.00012294
100.61351126,0.19851440,0.11761459,0.23608975
100.61451209,0.19752171,0.11662271,0.23509669
100.61551293,0.19652180,0.11562361,0.23409640
100.61651376,0.19552916,0.11463176,0.23310339
100.61751460,0.19452929,0.11363270,0.23210314
100.61851543,0.19353668,0.11264089,0.23111016
100.61951626,0.19253685,0.11164187,0.23010995
100.62051710,0.19153704,0.11064287,0.22910977
100.62151793,0.19054449,0.10965112,0.22811685
100.62251877,0.18954472,0.10865216,0.22711670
100.62351960,0.18855221,0.10766045,0.22612382
100.62452043,0.18755248,0.10666153,0.22512372
100.62552127,0.18656001,0.10566986,0.22413088
100.62652210,0.18556032,0.10467097,0.22313081
100.62752294,0.18456789,0.10367935,0.22213801
100.62852377,0.18356824,0.10268050,0.22113798
100.62952460,0.18256861,0.10168168,0.22013798
100.63052544,0.18157624,0.10069011,0.21914523
100.63152627,0.18057665,0.09969132,0.21814527
100.63252711,0.17958432,0.09869980,0.21715257
100.63352794,0.17858477,0.09770105,0.21615264
100.63452877,0.17759248,0.09670956,0.21515998
100.63552961,0.17659296,0.09571086,0.21416009
100.63653044,0.17560071,0.09471941,0.21316747
100.63753128,0.17460124,0.09372074,0.21216762
100.63853211,0.17360179,0.09272209,0.21116779
100.63953294,0.17260959,0.09173070,0.21017523
100.64053378,0.17161018,0.09073210,0.20917544
100.64153461,0.17061803,0.08974075,0.20818291
100.64253545,0.16961865,0.08874218,0.20718316
100.64353628,0.16862654,0.08775087,0.20619068
100.64453711,0.16762721,0.08675234,0.20519097
100.64553795,0.16663513,0.08576107,0.20419853
100.64653878,0.16563584,0.08476258,0.20319886
100.64753962,0.16463657,0.08376411,0.20219921
100.64854045,0.16364455,0.08277290,0.20120682
100.64954128,0.16264532,0.08177447,0.20020721
100.65054212,0.16165334,0.08078330,0.19921487
100.65154295,0.16065415,0.07978491,0.19821530
100.65254379,0.15966221,0.07879378,0.19722299
100.65354462,0.15866306,0.07779543,0.19622346
100.65454545,0.15767116,0.07680433,0.19523119
100.65554629,0.15667205,0.07580602,0.19423170
100.65654712,0.15568019,0.07481497,0.19323947
100.65754796,0.15468112,0.07381670,0.19224002
100.65854879,0.15368206,0.07281845,0.19124059
100.65954962,0.15269026,0.07182745,0.19024842
100.66055046,0.15169125,0.07082924,0.18924903
100.66155129,0.15069949,0.06983829,0.18825690
100.66255213,0.14970051,0.06884012,0.18725755
100.66355296,0.14870879,0.06784920,0.18626546
100.66455379,0.14770986,0.06685107,0.18526615
100.66555463,0.14671818,0.06586019,0.18427410
100.66655546,0.14571928,0.06486210,0.18327483
100.66755630,0.14472040,0.06386403,0.18227558
100.66855713,0.14372879,0.06287321,0.18128359
100.66955796,0.14272995,0.06187518,0.18028437
100.67055880,0.14173837,0.06088440,0.17929242
100.67155963,0.14073957,0.05988641,0.17829325
100.67256047,0.13974803,0.05889567,0.17730134
100.67356130,0.13874927,0.05789772,0.17630221
100.67456214,0.13775777,0.05690702,0.17531033
100.67556297,0.13675905,0.05590911,0.17431124
100.67656380,0.13576035,0.05491121,0.17331217
100.67756464,0.13476891,0.05392057,0.17232035
100.67856547,0.13377025,0.05292272,0.17132132
100.67956631,0.13277885,0.05193212,0.17032955
100.68056714,0.13178023,0.05093431,0.16933055
100.68156797,0.13078887,0.04994374,0.16833882
100.68256881,0.12979029,0.04894597,0.16733986
100.68356964,0.12879897,0.04795545,0.16634817
100.68457048,0.12780043,0.04695771,0.16534925
100.68557131,0.12680191,0.04596000,0.16435036
100.68657214,0.12581064,0.04496954,0.16335872
100.68757298,0.12481216,0.04397186,0.16235987
100.68857381,0.12382094,0.04298144,0.16136827
100.68957465,0.12282250,0.04198380,0.16036946
100.69057548,0.12183131,0.04099342,0.15937790
100.69157631,0.12083291,0.03999582,0.15837912
100.69257715,0.11984176,0.03900548,0.15738761
100.69357798,0.11884340,0.03800792,0.15638887
100.69457882,0.11784506,0.03701039,0.15539016
100.69557965,0.11685397,0.03602010,0.15439870
100.69658048,0.11585567,0.03502261,0.15340002
100.69758132,0.11486463,0.03403236,0.15240860
100.69858215,0.11386636,0.03303490,0.15140997
100.69958299,0.11287536,0.03204469,0.15041859
100.70058382,0.11187713,0.03104728,0.14941999
100.70158465,0.11088616,0.03005711,0.14842865
100.70258549,0.10988798,0.02905973,0.14743009
100.70358632,0.10888982,0.02806238,0.14643156
100.70458716,0.10789891,0.02707227,0.14544027
100.70558799,0.10690079,0.02607495,0.14444178
100.70658882,0.10590992,0.02508488,0.14345053
100.70758966,0.10491183,0.02408760,0.14245208
100.70859049,0.10392100,0.02309757,0.14146087
100.70959133,0.10292296,0.02210033,0.14046246
100.71059216,0.10193217,0.02111034,0.13947129
100.71159299,0.10093416,0.02011314,0.13847292
100.71259383,0.09994341,0.01912319,0.13748179
100.71359466,0.09894545,0.01812603,0.13648345
100.71459550,0.09794750,0.01712889,0.13548513
100.71559633,0.09695681,0.01613900,0.13449407
100.71659716,0.09595890,0.01514190,0.13349579
100.71759800,0.09496825,0.01415205,0.13250477
100.71859883,0.09397039,0.01315499,0.13150653
100.71959967,0.09297977,0.01216517,0.13051554
100.72060050,0.09198195,0.01116815,0.12951734
100.72160133,0.09099137,0.01017838,0.12852639
100.72260217,0.08999358,0.00918140,0.12752823
100.72360300,0.08899582,0.00818444,0.12653009
100.72460384,0.08800530,0.00719472,0.12553921
100.72560467,0.08700758,0.00619780,0.12454111
100.72660550,0.08601710,0.00520812,0.12355026
100.72760634,0.08501941,0.00421124,0.12255220
100.72860717,0.08402898,0.00322160,0.12156139
100.72960801,0.08303133,0.00222476,0.12056337
100.73060884,0.08204093,0.00123516,0.11957260
100.73160967,0.08104332,0.00023836,0.11857462
100.73261051,0.08004574,-0.00075842,0.11757666
100.73361134,0.07905540,-0.00174796,0.11658595
