true_state,decoded_state
10.02687813,10.02533053
10.02704508,10.02533053
10.02721202,10.02533053
10.02737896,10.02533053
10.02754591,10.02533053
10.02771285,10.02533053
10.0278798,10.02533053
10.02804674,10.02533053
10.02821369,10.02533053
10.02838063,10.02533053
10.02854758,10.02533053
10.02871452,10.02533053
10.02888147,10.02533053
10.02904841,10.02533053
10.02921536,10.02533053
10.0293823,10.02533053
10.02954925,10.02533053
10.02971619,10.03378829
10.02988314,10.03378829
10.03005008,10.03378829
10.03021703,10.03378829
10.03038397,10.03378829
10.03055092,10.03378829
10.03071786,10.03378829
10.03088481,10.03378829
10.03105175,10.03378829
10.0312187,10.03378829
10.03138564,10.03378829
10.03155259,10.03378829
10.03171953,10.03378829
10.03188648,10.03378829
10.03205342,10.03378829
10.03222037,10.03378829
10.03238731,10.03378829
10.03255426,10.03378829
10.0327212,10.03378829
10.03288815,10.03378829
10.03305509,10.03378829
10.03322204,10.03378829
10.03338898,10.03378829
10.03355593,10.03378829
10.03372287,10.03378829
10.03388982,10.03378829
10.03405676,10.03378829
10.03422371,10.03378829
10.03439065,10.03378829
10.0345576,10.03378829
10.03472454,10.03378829
10.03489149,10.03378829
10.03505843,10.03378829
10.03522538,10.03378829
10.03539232,10.03378829
10.03555927,10.03378829
10.03572621,10.03378829
10.03589316,10.03378829
10.0360601,10.03378829
10.03622705,10.03378829
10.03639399,10.03378829
10.03656093,10.03378829
10.03672788,10.03378829
10.03689482,10.03378829
10.03706177,10.03378829
10.03722871,10.03378829
10.03739566,10.03378829
10.0375626,10.03378829
10.03772955,10.03378829
10.03789649,10.03378829
10.03806344,10.04225318
10.03823038,10.04225318
10.03839733,10.04225318
10.03856427,10.04225318
10.03873122,10.04225318
10.03889816,10.04225318
10.03906511,10.04225318
10.03923205,10.04225318
10.039399,10.04225318
10.03956594,10.04225318
10.03973289,10.04225318
10.03989983,10.04225318
10.04006678,10.04225318
10.04023372,10.04225318
10.04040067,10.04225318
10.04056761,10.04225318
10.04073456,10.04225318
10.0409015,10.04225318
10.04106845,10.04225318
10.04123539,10.04225318
10.04140234,10.04225318
10.04156928,10.04225318
