diameter_um,worst_percent,worst_um
82.66519799,0.28840590,0.23841131
82.82410253,0.28785256,0.23841130
82.98331252,0.28730029,0.23841130
83.14282856,0.28674910,0.23841131
83.30265123,0.28619894,0.23841131
83.46278112,0.28564985,0.23841131
83.62321883,0.28510179,0.23841130
83.78396493,0.28455482,0.23841131
83.94502004,0.28400886,0.23841130
84.10638473,0.28346399,0.23841131
84.26805962,0.28292013,0.23841130
84.43004528,0.28237733,0.23841130
84.59234232,0.28183556,0.23841130
84.75495135,0.28129483,0.23841130
84.91787295,0.28075514,0.23841129
85.08110772,0.28021651,0.23841131
85.24465628,0.27967889,0.23841131
85.40851923,0.27914231,0.23841131
85.57269716,0.27860674,0.23841130
85.73719068,0.27807221,0.23841130
85.90200041,0.27753871,0.23841130
86.06712694,0.27700623,0.23841130
86.23257089,0.27647478,0.23841131
86.39833287,0.27594434,0.23841131
86.56441349,0.27541492,0.23841131
86.73081335,0.27488651,0.23841131
86.89753309,0.27435912,0.23841130
87.06457330,0.27383273,0.23841130
87.23193461,0.27330736,0.23841130
87.39961763,0.27278300,0.23841130
87.56762298,0.27225966,0.23841131
87.73595129,0.27173731,0.23841131
87.90460316,0.27121594,0.23841130
88.07357923,0.27069559,0.23841129
88.24288012,0.27017625,0.23841131
88.41250645,0.26965790,0.23841131
88.58245884,0.26914054,0.23841131
88.75273793,0.26862418,0.23841131
88.92334434,0.26810880,0.23841131
89.09427870,0.26759441,0.23841131
89.26554165,0.26708099,0.23841130
89.43713380,0.26656859,0.23841130
89.60905580,0.26605715,0.23841130
89.78130828,0.26554670,0.23841130
89.95389188,0.26503722,0.23841130
90.12680723,0.26452874,0.23841130
90.30005497,0.26402122,0.23841130
90.47363573,0.26351467,0.23841130
90.64755017,0.26300911,0.23841131
90.82179891,0.26250449,0.23841130
90.99638261,0.26200085,0.23841130
91.17130190,0.26149820,0.23841131
91.34655744,0.26099649,0.23841131
91.52214986,0.26049575,0.23841131
91.69807982,0.25999596,0.23841131
91.87434796,0.25949714,0.23841131
92.05095494,0.25899927,0.23841130
92.22790140,0.25850237,0.23841131
92.40518800,0.25800641,0.23841131
92.58281540,0.25751140,0.23841131
92.76078424,0.25701735,0.23841131
92.93909518,0.25652423,0.23841130
93.11774888,0.25603207,0.23841130
93.29674601,0.25554086,0.23841131
93.47608721,0.25505057,0.23841130
93.65577316,0.25456125,0.23841131
93.83580451,0.25407285,0.23841130
94.01618193,0.25358538,0.23841130
94.19690608,0.25309887,0.23841131
94.37797764,0.25261329,0.23841131
94.55939726,0.25212861,0.23841130
94.74116561,0.25164488,0.23841130
94.92328338,0.25116209,0.23841130
95.10575122,0.25068021,0.23841130
95.28856981,0.25019927,0.23841131
95.47173984,0.24971924,0.23841130
95.65526196,0.24924014,0.23841130
95.83913686,0.24876194,0.23841130
96.02336522,0.24828467,0.23841130
96.20794771,0.24780832,0.23841130
96.39288502,0.24733289,0.23841131
96.57817783,0.24685835,0.23841130
96.76382682,0.24638474,0.23841130
96.94983268,0.24591202,0.23841129
97.13619609,0.24544023,0.23841131
97.32291774,0.24496933,0.23841130
97.50999832,0.24449934,0.23841131
97.69743852,0.24403024,0.23841130
97.88523903,0.24356206,0.23841130
98.07340054,0.24309476,0.23841129
98.26192375,0.24262837,0.23841130
98.45080935,0.24216287,0.23841131
98.64005803,0.24169827,0.23841131
98.82967051,0.24123455,0.23841131
99.01964747,0.24077171,0.23841130
99.20998961,0.24030978,0.23841131
99.40069765,0.23984872,0.23841130
99.59177228,0.23938855,0.23841130
99.78321420,0.23892926,0.23841130
99.97502412,0.23847086,0.23841130
100.16720276,0.23801333,0.23841129
100.35975081,0.23755669,0.23841131
100.55266899,0.23710091,0.23841130
100.74595802,0.23664602,0.23841130
100.93961859,0.23619199,0.23841130
101.13365143,0.23573885,0.23841131
101.32805726,0.23528657,0.23841131
101.52283678,0.23483515,0.23841131
101.71799073,0.23438460,0.23841131
101.91351981,0.23393490,0.23841129
102.10942475,0.23348610,0.23841131
102.30570627,0.23303813,0.23841131
102.50236510,0.23259102,0.23841130
102.69940196,0.23214479,0.23841131
102.89681757,0.23169939,0.23841130
103.09461267,0.23125486,0.23841130
103.29278799,0.23081118,0.23841130
103.49134425,0.23036835,0.23841130
103.69028219,0.22992637,0.23841130
103.88960254,0.22948524,0.23841131
104.08930603,0.22904496,0.23841131
104.28939342,0.22860551,0.23841130
104.48986542,0.22816691,0.23841130
104.69072278,0.22772917,0.23841131
104.89196624,0.22729224,0.23841130
105.09359655,0.22685616,0.23841130
105.29561445,0.22642092,0.23841130
105.49802067,0.22598651,0.23841130
105.70081598,0.22555294,0.23841130
105.90400111,0.22512021,0.23841130
106.10757682,0.22468830,0.23841131
106.31154386,0.22425722,0.23841131
106.51590297,0.22382696,0.23841131
106.72065492,0.22339753,0.23841131
106.92580045,0.22296892,0.23841130
107.13134033,0.22254114,0.23841131
107.33727531,0.22211417,0.23841130
107.54360616,0.22168803,0.23841130
